Code,Name,Callsign,Country
IBE,Iberia Airlines,IBERIA,Spain
KLM,KLM Royal Dutch Airlines,KLM,Netherlands
SWR,Swiss International Air Lines,SWISS,Switzerland
AAL,American Airlines,AMERICAN,United States
RYR,Ryanair,RYANAIR,Ireland
MLA,40-Mile Air,MILE-AIR,United States
AAF,Aigle Azur,AIGLE AZUR,France
AAR,Asiana Airlines,ASIANA,Republic of Korea
AAS,Askari Aviation,AL-AAS,Pakistan
AAW,Afriqiyah Airways,AFRIQIYAH,Libya
AAY,Allegiant Air,ALLEGIANT,United States
TUS,ABSA - Aerolinhas Brasileiras,ABSA Cargo,Brazil
ACP,Astral Aviation,ASTRAL CARGO,Kenya
ADR,Adria Airways,ADRIA,Slovenia
AEA,Air Europa,EUROPA,Spain
AEE,Aegean Airlines,AEGEAN,Greece
AEL,Air Europe,AIR EUROPE,Italy
AER,Alaska Central Express,ACE AIR,United States
AEY,Air Italy,AIR ITALY,Italy
AFG,Ariana Afghan Airlines,ARIANA,Afghanistan
AFL,Aeroflot Russian Airlines,AEROFLOT,Russia
BON,Air Bosna,AIR BOSNA,Bosnia and Herzegovina
AFR,Air France,AIRFRANS,France
ACI,Air Caledonie International,AIRCALIN,France
NMB,Air Namibia,NAMIBIA,Namibia
PLI,Aeroper,Aeroperu,Peru
AHY,Azerbaijan Airlines,AZAL,Azerbaijan
BER,Air Berlin,AIR BERLIN,Germany
AIC,Air India Limited,AIRINDIA,India
BUB,Air Bourbon,BOURBON,Reunion
ABD,Air Atlanta Icelandic,ATLANTA,Iceland
THT,Air Tahiti Nui,TAHITI AIRLINES,France
AIZ,Arkia Israel Airlines,ARKIA,Israel
ADH,Air One,HERON,Italy
RSH,Air Sahara,SAHARA,India
AMC,Air Malta,AIR MALTA,Malta
AMU,Air Macau,AIR MACAO,Macao
SEY,Air Seychelles,SEYCHELLES,Seychelles
AMX,AeroMexico,AEROMEXICO,Mexico
ANA,All Nippon Airways,ALL NIPPON,Japan
ANG,Air Niugini,NUIGINI,Papua New Guinea
ABY,Air Arabia,ARABIA,United Arab Emirates
ACA,Air Canada,AIR CANADA,Canada
BTI,Air Baltic,AIRBALTIC,Latvia
ANK,Air Nippon,ANK AIR,Japan
ANO,Airnorth,TOPEND,Australia
ANT,Air North Charter - Canada,AIR NORTH,Canada
ANZ,Air New Zealand,NEW ZEALAND,New Zealand
ARF,Aero Flight,Aero Fox,Germany
APW,Arrow Air,BIG A,United States
ARD,Aerocondor,AEROCONDOR,Portugal
ARG,Aerolineas Argentinas,ARGENTINA,Argentina
ASA,Alaska Airlines, Inc.,ALASKA
ASD,Air Sinai,AIR SINAI,Egypt
ASZ,Astrakhan Airlines,AIR ASTRAKHAN,Russia
VBW,Air Burkina,BURKINA,Burkina Faso
ATM,Airlines Of Tasmania,AIRTAS,Australia
SPM,Air Saint Pierre,_,France
AUA,Austrian Airlines,AUSTRIAN,Austria
AUH,Abu Dhabi Amiri Flight,SULTAN,United Arab Emirates
AUL,Aeroflot-Nord,DVINA,Russia
AUR,Aurigny Air Services,AYLINE,United Kingdom
AVA,Avianca - Aerovias Nacionales de Colombia, S.A.,AVIANCA
AVN,Air Vanuatu,AIR VAN,Vanuatu
BGD,Air Bangladesh,AIR BANGLA,Bangladesh
AWU,Aeroline GmbH,SYLT-AIR,Germany
FWI,Air Caraibes,FRENCH WEST,France
AXB,Air India Express,EXPRESS INDIA,India
AXM,AirAsia,ASIAN EXPRESS,Malaysia
AYZ,Atlant-Soyuz Airlines,ATLANT-SOYUZ,Russia
AZA,Alitalia,ALITALIA,Italy
AZN,Amaszonas,_,Bolivia
AZW,Air Zimbabwe,AIR ZIMBABWE,Zimbabwe
OCA,Aserca Airlines,AROSCA,Venezuela
SDM,Rossiya-Russian Airlines,PULKOVO,Russia
BOT,Air Botswana,BOTSWANA,Botswana
UPA,Air Foyle,FOYLE,United Kingdom
VTA,Air Tahiti,AIR TAHITI,French Polynesia
CCA,Air China,AIR CHINA,China
