Code,Name,City,Country,Latitude,Longitude
CDG,Charles De Gaulle,Paris,France,49.012779,2.550000
ORY,Orly,Paris,France,48.725278,2.359444
LGA,La Guardia,New York,United States,40.777245,-73.872608
JFK,John F Kennedy Intl,New York,United States,40.639751,-73.778925
LHR,Heathrow,London,United Kingdom,51.477500,-0.461389
GKA,Goroka,Goroka,Papua New Guinea,-6.081689,145.391881
MAG,Madang,Madang,Papua New Guinea,-5.207083,145.788700
HGU,Mount Hagen,Mount Hagen,Papua New Guinea,-5.826789,144.295861
LAE,Nadzab,Nadzab,Papua New Guinea,-6.569828,146.726242
POM,Port Moresby Jacksons Intl,Port Moresby,Papua New Guinea,-9.443383,147.220050
WWK,Wewak Intl,Wewak,Papua New Guinea,-3.583828,143.669186
UAK,Narsarsuaq,Narssarssuaq,Greenland,61.160517,-45.425978
GOH,Nuuk,Godthaab,Greenland,64.190922,-51.678064
SFJ,Sondre Stromfjord,Sondrestrom,Greenland,67.016969,-50.689325
THU,Thule Air Base,Thule,Greenland,76.531203,-68.703161
AEY,Akureyri,Akureyri,Iceland,65.659994,-18.072703
EGS,Egilsstadir,Egilsstadir,Iceland,65.283333,-14.401389
IFJ,Isafjordur,Isafjordur,Iceland,66.058056,-23.135278
KEF,Keflavik International Airport,Keflavik,Iceland,63.985000,-22.605556
RKV,Reykjavik,Reykjavik,Iceland,64.130000,-21.940556
YAM,Sault Ste Marie,Sault Sainte Marie,Canada,46.485001,-84.509445
YBC,Baie Comeau,Baie Comeau,Canada,49.132500,-68.204444
YBG,Bagotville,Bagotville,Canada,48.330555,-70.996391
YBK,Baker Lake,Baker Lake,Canada,64.298889,-96.077778
YBL,Campbell River,Campbell River,Canada,49.950832,-125.270833
YBR,Brandon Muni,Brandon,Canada,49.910000,-99.951944
YCB,Cambridge Bay,Cambridge Bay,Canada,69.108055,-105.138333
YCD,Nanaimo,Nanaimo,Canada,49.052333,-123.870167
YCG,Castlegar,Castlegar,Canada,49.296389,-117.632500
YCO,Kugluktuk,Coppermine,Canada,67.816667,-115.143889
YCY,Clyde River,Clyde River,Canada,70.486111,-68.516667
YZS,Fairmont Hot Springs,Coral Harbour,Canada,64.193333,-83.359444
YDF,Deer Lake,Deer Lake,Canada,49.210833,-57.391388
YEG,Edmonton Intl,Edmonton,Canada,53.309723,-113.579722
YEK,Arviat,Eskimo Point,Canada,61.094166,-94.070833
YEV,Inuvik Mike Zubko,Inuvik,Canada,68.304167,-133.482778
YFB,Iqaluit,Iqaluit,Canada,63.756390,-68.555832
YFC,Fredericton,Fredericton,Canada,45.868889,-66.537222
YFO,Flin Flon,Flin Flon,Canada,54.678055,-101.681667
YFS,Fort Simpson,Fort Simpson,Canada,61.760153,-121.236525
YGK,Kingston,Kingston,Canada,44.225277,-76.596944
YGP,Gaspe,Gaspe,Canada,48.775278,-64.478611
YGR,Iles De La Madeleine,Iles De La Madeleine,Canada,47.424721,-61.778056
YHD,Dryden Rgnl,Dryden,Canada,49.831667,-92.744167
YHI,Ulukhaktok Holman,Holman Island,Canada,70.762778,-117.806111
YHK,Gjoa Haven,Gjoa Haven,Canada,68.635556,-95.849722
YHM,Hamilton,Hamilton,Canada,43.173611,-79.935000
YHY,Hay River,Hay River,Canada,60.839722,-115.782778
YHZ,Halifax Intl,Halifax,Canada,44.880833,-63.508610
